datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),wind_speed (m/s),mean_sea_level_pressure (Pa),total_precipitation (mm of water equivalent)
2022-08-01 00:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,26.30,20.36,2.43,101856.87,0.02
2022-08-01 01:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,25.94,20.77,2.21,101801.67,0.01
2022-08-01 02:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,25.65,20.99,2.33,101788.67,0.14
2022-08-01 03:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,25.07,20.94,2.68,101808.56,0.00
2022-08-01 04:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,24.77,20.57,2.96,101793.91,0.00
2022-08-01 05:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,24.20,20.32,2.44,101750.98,0.00
2022-08-01 06:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,23.99,20.42,2.58,101730.87,0.03
2022-08-01 07:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,23.43,20.48,2.73,101707.50,0.80
2022-08-01 08:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,22.42,19.25,3.62,101700.93,1.31
2022-08-01 09:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,21.64,19.01,2.92,101689.28,1.56
2022-08-01 10:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,20.68,17.96,1.22,101597.03,2.45
2022-08-01 11:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,20.52,18.02,1.71,101612.62,2.18
2022-08-01 12:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,20.78,18.41,1.97,101580.05,0.56
2022-08-01 13:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,20.93,18.71,1.77,101566.14,0.09
2022-08-01 14:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,20.99,19.11,1.79,101532.01,0.04
2022-08-01 15:00:00,"(40.76872225, -73.9826608125)",era5,23.61,-5.00,21.55,19.03,1.79,101512.42,0.01
